sub1_name,x1 (mole fraction),sub2_name,x2 (mole fraction),sub3_name,x3 (mole fraction),salt,x4 (mole fraction),x5 (mole fraction),temperature (K),ionic conductivity (mS/cm)
Fluoroethylene Carbonate,0.492208246,Ethyl Methyl Carbonate,0.334275772,Ethylene Carbonate,0,LiPF6,0.086757991,0.086757991,243.15,0.838
Fluoroethylene Carbonate,0.452949554,Ethyl Methyl Carbonate,0.307613826,Ethylene Carbonate,0,LiPF6,0.11971831,0.11971831,243.15,0.346
Fluoroethylene Carbonate,0.419011918,Ethyl Methyl Carbonate,0.284565595,Ethylene Carbonate,0,LiPF6,0.148211244,0.148211244,243.15,0.0746
Fluoroethylene Carbonate,0.591982203,Ethyl Methyl Carbonate,0.402035743,Ethylene Carbonate,0,LiPF6,0.002991027,0.002991027,253.15,0.192
Fluoroethylene Carbonate,0.538826233,Ethyl Methyl Carbonate,0.365935672,Ethylene Carbonate,0,LiPF6,0.047619048,0.047619048,253.15,1.78
Fluoroethylene Carbonate,0.492208246,Ethyl Methyl Carbonate,0.334275772,Ethylene Carbonate,0,LiPF6,0.086757991,0.086757991,253.15,1.54
Fluoroethylene Carbonate,0.452949554,Ethyl Methyl Carbonate,0.307613826,Ethylene Carbonate,0,LiPF6,0.11971831,0.11971831,253.15,0.844
Fluoroethylene Carbonate,0.419011918,Ethyl Methyl Carbonate,0.284565595,Ethylene Carbonate,0,LiPF6,0.148211244,0.148211244,253.15,0.313
Fluoroethylene Carbonate,0.591982203,Ethyl Methyl Carbonate,0.402035743,Ethylene Carbonate,0,LiPF6,0.002991027,0.002991027,263.15,0.263
Fluoroethylene Carbonate,0.538826233,Ethyl Methyl Carbonate,0.365935672,Ethylene Carbonate,0,LiPF6,0.047619048,0.047619048,263.15,2.62
Fluoroethylene Carbonate,0.492208246,Ethyl Methyl Carbonate,0.334275772,Ethylene Carbonate,0,LiPF6,0.086757991,0.086757991,263.15,2.49
Fluoroethylene Carbonate,0.452949554,Ethyl Methyl Carbonate,0.307613826,Ethylene Carbonate,0,LiPF6,0.11971831,0.11971831,263.15,1.61
Fluoroethylene Carbonate,0.419011918,Ethyl Methyl Carbonate,0.284565595,Ethylene Carbonate,0,LiPF6,0.148211244,0.148211244,263.15,0.802
Fluoroethylene Carbonate,0.591982203,Ethyl Methyl Carbonate,0.402035743,Ethylene Carbonate,0,LiPF6,0.002991027,0.002991027,273.15,0.347
Fluoroethylene Carbonate,0.538826233,Ethyl Methyl Carbonate,0.365935672,Ethylene Carbonate,0,LiPF6,0.047619048,0.047619048,273.15,3.62
Fluoroethylene Carbonate,0.492208246,Ethyl Methyl Carbonate,0.334275772,Ethylene Carbonate,0,LiPF6,0.086757991,0.086757991,273.15,3.69
Fluoroethylene Carbonate,0.452949554,Ethyl Methyl Carbonate,0.307613826,Ethylene Carbonate,0,LiPF6,0.11971831,0.11971831,273.15,2.67
Fluoroethylene Carbonate,0.419011918,Ethyl Methyl Carbonate,0.284565595,Ethylene Carbonate,0,LiPF6,0.148211244,0.148211244,273.15,1.57
Fluoroethylene Carbonate,0.591982203,Ethyl Methyl Carbonate,0.402035743,Ethylene Carbonate,0,LiPF6,0.002991027,0.002991027,283.15,0.443
Fluoroethylene Carbonate,0.538826233,Ethyl Methyl Carbonate,0.365935672,Ethylene Carbonate,0,LiPF6,0.047619048,0.047619048,283.15,4.79
Fluoroethylene Carbonate,0.492208246,Ethyl Methyl Carbonate,0.334275772,Ethylene Carbonate,0,LiPF6,0.086757991,0.086757991,283.15,5.12
Fluoroethylene Carbonate,0.452949554,Ethyl Methyl Carbonate,0.307613826,Ethylene Carbonate,0,LiPF6,0.11971831,0.11971831,283.15,3.99
Fluoroethylene Carbonate,0.419011918,Ethyl Methyl Carbonate,0.284565595,Ethylene Carbonate,0,LiPF6,0.148211244,0.148211244,283.15,2.62
Fluoroethylene Carbonate,0.591982203,Ethyl Methyl Carbonate,0.402035743,Ethylene Carbonate,0,LiPF6,0.002991027,0.002991027,293.15,0.549
Fluoroethylene Carbonate,0.538826233,Ethyl Methyl Carbonate,0.365935672,Ethylene Carbonate,0,LiPF6,0.047619048,0.047619048,293.15,6.1
Fluoroethylene Carbonate,0.492208246,Ethyl Methyl Carbonate,0.334275772,Ethylene Carbonate,0,LiPF6,0.086757991,0.086757991,293.15,6.77
Fluoroethylene Carbonate,0.452949554,Ethyl Methyl Carbonate,0.307613826,Ethylene Carbonate,0,LiPF6,0.11971831,0.11971831,293.15,5.56
Fluoroethylene Carbonate,0.419011918,Ethyl Methyl Carbonate,0.284565595,Ethylene Carbonate,0,LiPF6,0.148211244,0.148211244,293.15,3.94
Propylene Carbonate,0.189938882,Fluoroethylene Carbonate,0.365682317,Ethylene Carbonate,0.440386785,LiTFSI,0.001996008,0.001996008,243.15,0.0814
Propylene Carbonate,0.173927297,Fluoroethylene Carbonate,0.334855804,Ethylene Carbonate,0.403262788,LiTFSI,0.043977055,0.043977055,243.15,0.617
Propylene Carbonate,0.159529702,Fluoroethylene Carbonate,0.307136646,Ethylene Carbonate,0.369880943,LiTFSI,0.081726354,0.081726354,243.15,0.368
Propylene Carbonate,0.14772071,Fluoroethylene Carbonate,0.284401228,Ethylene Carbonate,0.342500955,LiTFSI,0.112688554,0.112688554,243.15,0.157
Propylene Carbonate,0.137245085,Fluoroethylene Carbonate,0.264232895,Ethylene Carbonate,0.318212475,LiTFSI,0.140154772,0.140154772,243.15,0.0577
Propylene Carbonate,0.189938882,Fluoroethylene Carbonate,0.365682317,Ethylene Carbonate,0.440386785,LiTFSI,0.001996008,0.001996008,253.15,0.128
Propylene Carbonate,0.173927297,Fluoroethylene Carbonate,0.334855804,Ethylene Carbonate,0.403262788,LiTFSI,0.043977055,0.043977055,253.15,1.13
Propylene Carbonate,0.159529702,Fluoroethylene Carbonate,0.307136646,Ethylene Carbonate,0.369880943,LiTFSI,0.081726354,0.081726354,253.15,0.821
Propylene Carbonate,0.14772071,Fluoroethylene Carbonate,0.284401228,Ethylene Carbonate,0.342500955,LiTFSI,0.112688554,0.112688554,253.15,0.439
Propylene Carbonate,0.137245085,Fluoroethylene Carbonate,0.264232895,Ethylene Carbonate,0.318212475,LiTFSI,0.140154772,0.140154772,253.15,0.214
